REPORTING YEAR,FACILITY NAME,GHGRP ID,REPORTED ADDRESS,LATITUDE,LONGITUDE,CITY NAME,COUNTY NAME,STATE,ZIP CODE,PARENT COMPANIES,GHG QUANTITY (METRIC TONS CO2e),SUBPARTS
2014,ADS-PECAN ROW-EVERGREEN LANDFILLS,1001636,2995 WETHERINGTON LANE,30.81501,-83.36245,VALDOSTA,LOWNDES COUNTY,GA,31601,"ADS Waste Holdings, Inc (100%);",164077,HH
2014,AL Sandersville,1000129,1600 MILLS LINDSEY SCHOOL ROAD,33.1189,-82.8608,WARTHEN,Washington,GA,31094,"AL SANDERSVILLE, LLC (100%);",5634,D
2014,ALADDIN MILLS - ANTIOCH RD PLA NT,1007272,2001 ANTIOCH ROAD,34.73366,-84.94669,DALTON,WHITFIELD COUNTY,GA,30720,"MOHAWK INDUSTRIES, INC (100%);",44146,C
2014,"ANHEUSER-BUSCH, INC. CARTERSVI LLE BREWERY",1006904,100 BUSCH DR.,34.25768,-84.78162,CARTERSVILLE,BARTOW,GA,30120,ANHEUSER-BUSCH INBEV (100%);,25875,C
2014,ATHENS & CLARKE COUNTIES-DUNLAP ROAD LF,1006056,5700 LEXINGTON RD,33.9257,-83.2634,WINTERVILLE,CLARKE,GA,30683,Athens-Clarke County Unified Government (100%);,34531,HH
2014,American Proteins - Ball Ground,1010126,14938 East Cherokee Drive,34.29704,-84.39253,Ball Ground,CHEROKEE COUNTY,GA,30107,AMERICAN PROTEINS INC (100%);,0,
2014,American Proteins Inc./Alma Division,1011723,"1255 U S Hwy. 1, South",31.51621,-82.461555,Alma,BACON,GA,31510,AMERICAN PROTEINS INC (100%);,16,C
2014,"American Proteins, Inc. - Cumming",1007915,4990 Leland Drive,34.281587,-84.058034,Cumming,FORSYTH,GA,30041,AMERICAN PROTEINS INC (100%);,63521,"C,II"
2014,Anchor Glass Container Corporation - Plant 14,1004943,1044 BOOTH RD,32.586745,-83.591784,WARNER ROBINS,HOUSTON,GA,31088,ANCHOR GLASS CONTAINER CORP (100%);,101463,"C,N"
2014,"Arizona Chemical Company, LLC",1002542,1201 West Lathrop Avenue,32.10063,-81.12114,Savannah,CHATHAM COUNTY,GA,31415,ARIZONA CHEMICAL CO LLC (100%);,59356,C
2014,Armstrong World Industries Inc,1006883,4520 Broadway,32.774761,-83.651605,Macon,BIBB,GA,31206,ARMSTRONG WORLD INDUSTRIES INC (100%);,79336,C
2014,Atkinson County - S.R. 50 MSW Landfill,1003450,64 Arthur Davis Jr. Drive,31.369779,-83.014653,Willachoochee,ATKINSON,GA,31650,Solid Waste Management Authority of Atkinson County (100%);,36159,HH
2014,Atlanta Gas Light Company,1007872,Ten Peachtree Place,33.780708,-84.387782,Atlanta,FULTON,GA,30309,AGL RESOURCES INC (100%);,155672,"NN,W"
2014,BARTOW COUNTY MSWL,1006619,40 ALLATOONA DAM RD SE,34.14457,-84.76363,CARTERSVILLE,BARTOW,GA,30120,Bartow County Government (100%);,14506,HH
2014,BASF CORP ATTAPULGUS OPS,1007885,141 ENGELHARD RD,30.738055,-84.49394,ATTAPULGUS,DECATUR,GA,39815,BASF CORP (100%);,98273,C
2014,BASF CORP SAVANNAH OPERATIONS,1002622,1800 EAST PRESIDENT STREET,32.078611,-81.054444,SAVANNAH,CHATHAM,GA,31404,BASF CORP (100%);,56423,C
2014,BASF Corporation,1006829,Highway 18 Spur,32.877931,-83.314802,Gordon,WILKINSON,GA,31031,BASF CORP (100%);,50043,C
2014,BASF Corporation,1003325,1277 Dedrick Road,32.849666,-83.229393,McIntyre,WILKINSON,GA,31054,BASF CORP (100%);,277015,C
2014,BJ Landfill,1007900,2901 Jones Mill Road,33.93444,-84.24454,Norcross,GWINNETT,GA,30071,WASTE MANAGEMENT INC (100%);,15524,"C,HH"
2014,BOLTON ROAD LANDFILL,1007541,2236 BOLTON RD NW,33.81732,-84.46524,ATLANTA,FULTON COUNTY,GA,30318,"Waste Management, Inc. (100%);",0,
2014,Baconton,1001409,2237 HATCHER HILL RD,31.3869,-84.0819,BACONTON,Mitchell,GA,31716,Tejas Power Generation LLC (35%);Sowega Energy Resources LLC (65%);,16548,"C,D"
2014,"Beaulieu Group, LLC Plant 830",1005505,1510 Coronet Drive,34.8003,-84.96616,Dalton,WHITFIELD,GA,30722,"Beaulieu Group, LLC (100%);",20679,C
2014,Bowen,1001505,317 COVERED BRIDGE ROAD SW,34.1256,-84.9192,CARTERSVILLE,Bartow,GA,30120,SOUTHERN CO (100%);,15642273,"C,D"
